id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,score
2212,EDDF,large_airport,Frankfurt am Main Airport,50.033333,8.570556,364,EU,DE,DE-HE,Frankfurt am Main,1,FRA,1144675
2218,EDDM,large_airport,Munich Airport,48.353802,11.7861,1487,EU,DE,DE-BY,Munich,1,MUC,1026675
2223,EDDT,large_airport,Berlin-Tegel Airport,52.5597,13.2877,122,EU,DE,DE-BE,Berlin,1,TXL,1012675
2217,EDDL,large_airport,Düsseldorf Airport,51.289501,6.76678,147,EU,DE,DE-NW,Düsseldorf,1,DUS,1017675
2209,EDDB,large_airport,Berlin-Schönefeld Airport,52.380001,13.5225,157,EU,DE,DE-BR,Berlin,1,SXF,1275
2216,EDDK,large_airport,Cologne Bonn Airport,50.86589813,7.142739773,302,EU,DE,DE-NW,Cologne,1,CGN,51475
2214,EDDH,large_airport,Hamburg Airport,53.63040161,9.988229752,53,EU,DE,DE-HH,Hamburg,1,HAM,1012575
2222,EDDS,large_airport,Stuttgart Airport,48.68989944,9.221960068,1276,EU,DE,DE-BW,Stuttgart,1,STR,51275
2227,EDFH,medium_airport,Frankfurt-Hahn Airport,49.9487,7.26389,1649,EU,DE,DE-RP,Frankfurt am Main,1,HHN,1050
2219,EDDN,large_airport,Nuremberg Airport,49.498699,11.078056,1046,EU,DE,DE-BY,Nuremberg,1,NUE,1275
2224,EDDV,large_airport,Hannover Airport,52.46110153,9.685079575,183,EU,DE,DE-NI,Hannover,1,HAJ,1675
2225,EDDW,large_airport,Bremen Airport,53.04750061,8.786669731,14,EU,DE,DE-HB,Bremen,1,BRE,1275
2256,EDNY,medium_airport,Friedrichshafen Airport,47.67129898,9.511489868,1367,EU,DE,DE-BW,Friedrichshafen,1,FDH,1050
2246,EDLV,medium_airport,Weeze Airport,51.60240173,6.142169952,106,EU,DE,DE-NW,Weeze,1,NRN,1050
2220,EDDP,large_airport,Leipzig/Halle Airport,51.423889,12.236389,465,EU,DE,DE-SN,Leipzig,1,LEJ,1275
2215,EDDI,closed,Berlin-Tempelhof International Airport,52.47299957,13.40390015,167,EU,DE,DE-BE,Berlin,0,THF,899
2210,EDDC,large_airport,Dresden Airport,51.13280106,13.76720047,755,EU,DE,DE-SN,Dresden,1,DRS,1275
2247,EDLW,large_airport,Dortmund Airport,51.5182991,7.612239838,425,EU,DE,DE-NW,Dortmund,1,DTM,1050
2237,EDJA,medium_airport,Memmingen Allgau Airport,47.98880005,10.23950005,2077,EU,DE,DE-BY,Memmingen,1,FMM,250
2213,EDDG,large_airport,Münster Osnabrück Airport,52.13460159,7.684830189,160,EU,DE,DE-NW,Münster,1,FMO,1275
2236,EDHL,medium_airport,Lübeck Blankensee Airport,53.80540085,10.71920013,53,EU,DE,DE-SH,Lübeck,1,LBC,1050
2270,EDSB,large_airport,Karlsruhe Baden-Baden Airport,48.77939987,8.080499649,408,EU,DE,DE-BW,Baden-Baden,1,FKB,1050
2248,EDMA,medium_airport,Augsburg Airport,48.425278,10.931667,1516,EU,DE,DE-BY,Augsburg,0,AGB,375
2221,EDDR,medium_airport,Saarbrücken Airport,49.21459961,7.109509945,1058,EU,DE,DE-SL,Saarbrücken,1,SCN,1050
2243,EDLN,medium_airport,Mönchengladbach Airport,51.230278,6.504444,125,EU,DE,DE-NW,Mönchengladbach,0,MGL,575
2718,ETAR,large_airport,Ramstein Air Base,49.43690109,7.600279808,776,EU,DE,DE-RP,Ramstein,0,RMS,975
2266,EDRK,small_airport,Koblenz-Winningen Airport,50.325558,7.528611,640,EU,DE,DE-RP,Koblenz,0,,50
2255,EDNL,small_airport,Leutkirch-Unterzeil Airport,47.85889053,10.01416683,2100,EU,DE,DE-BW,Leutkirch,0,,50
2285,EDVK,medium_airport,Kassel-Calden Airport,51.417273,9.384967,820,EU,DE,DE-HE,Kassel,1,KSF,275
2244,EDLP,medium_airport,Paderborn Lippstadt Airport,51.61410141,8.616319656,699,EU,DE,DE-NW,Paderborn,1,PAD,1050
2228,EDFM,medium_airport,Mannheim-City Airport,49.473057,8.514167,308,EU,DE,DE-BW,Mannheim,1,MHG,875
2226,EDFE,medium_airport,Frankfurt-Egelsbach Airport,49.959999,8.645833,384,EU,DE,DE-HE,Frankfurt am Main,0,QEF,250
2268,EDRY,small_airport,Speyer Airport,49.304722,8.451389,312,EU,DE,DE-RP,Speyer,0,,50
2277,EDTM,small_airport,Mengen-Hohentengen Airport,48.05389023,9.372777939,1818,EU,DE,DE-BW,Mengen,0,,50
2211,EDDE,medium_airport,Erfurt Airport,50.97980118,10.95810032,1036,EU,DE,DE-TH,Erfurt,1,ERF,1050
